,BMV:ALFAA,BMV:ALPEKA,BMV:ALSEA,BMV:AMXL,BMV:AC,BMV:ASURB,BMV:GFREGIOO,BMV:BIMBOA,BMV:BOLSAA,BMV:CEMEXCPO,BMV:KOFL,BMV:LIVEPOLC-1,BMV:ELEKTRA,BMV:GFNORTEO,BMV:FEMSAUBD,BMV:LABB,BMV:GENTERA,BMV:GMEXICOB,BMV:GRUMAB,BMV:GAPB,BMV:GCARSOA1,BMV:GFINBURO,BMV:SANMEXB,BMV:LALAB,BMV:TLEVISACPO,BMV:IENOVA,BMV:KIMBERA,BMV:MEXCHEM,BMV:NEMAKA,BMV:OHLMEX,BMV:OMAB,BMV:PE&OLES,BMV:PINFRA,BMV:VOLARA,BMV:WALMEX
BMV:GCARSOA1,-0.4412876009770256,0.4220756533040919,0.6686831220494596,-0.5340755141786272,0.7561720511573257,0.8664729257077181,0.8210566289327028,0.503686814310226,0.5226097293530919,0.3751427029283336,0.5445963422357167,-0.20675841721430527,-0.1758574786140038,0.7645938891576948,0.722668294993576,0.40444829070838845,0.4740308965695916,0.5392211995736642,0.7542618041124894,0.8124076026299204,1.0,-0.6218188640639706,0.23699765295222716,0.20011502544549745,-0.5176155577043097,0.2799814564614593,0.568432730511165,0.4948946796386735,-0.3021113832260979,-0.18980534672411553,0.6967749642937633,0.6295083391327309,0.47715944214562545,0.5739456349119569,0.3503336583034679
BMV:GFINBURO,0.38177568260962846,-0.5615131115532324,-0.6822548932406535,0.7865836798713719,-0.5800473168039819,-0.7005155261795312,-0.687395704566561,-0.5708169304158995,-0.17421655451914025,0.002948910887221726,-0.3574346809859418,-0.001656330463881876,0.45828318107278054,-0.6115066640730119,-0.7366024261821608,-0.20830750432537484,-0.509737719047421,-0.287463806818098,-0.793330670357736,-0.7941291072396701,-0.6218188640639706,1.0,0.008571699037975626,-0.2541113330010673,0.5482732567777198,-0.1595808375783652,-0.6093736714553865,-0.09012499941669584,0.26077009620135416,0.6992197146325984,-0.5917346705860873,-0.4329826639600667,-0.4228303819194522,-0.6917734438758344,-0.4932131571100864
BMV:SANMEXB,-0.25494532065217484,0.38652858464403655,0.43078693023525394,-0.29958513648355073,0.5836474261412743,0.34967189824661565,0.3744087292205896,0.4750609642497811,0.6014202534200762,0.3295604626464236,0.6828515597662976,-0.16493951071070154,0.19182172012771168,0.643432682443339,0.41760294263370934,0.4495643926816832,0.5011079526648022,0.19242552219145656,0.1458361708544017,0.39290061233052803,0.23699765295222716,0.008571699037975626,1.0,-0.008758107755898702,0.018907048063798133,0.15221352057232337,0.2653794715469126,0.13754885540352466,0.014546555264022827,0.4314627248249003,0.5366154371990305,0.5405166904055505,0.3927220548396268,0.22029304809537054,0.1959719200701422
BMV:LALAB,0.6101568897792349,0.5579893932124134,0.6277112360712608,-0.5169460966230434,0.37353450666861077,0.09916877108218189,0.08233079432332732,0.6315922931056321,0.01699189245672733,-0.6786944799974055,0.3753601753824248,0.7608492212582956,-0.3425862799411622,0.13969792472320774,0.49343620465833055,-0.525076724523353,0.5016731063015126,-0.5990570472252564,0.5322459120623807,0.4019745535068802,0.20011502544549745,-0.2541113330010673,-0.008758107755898702,1.0,-0.1860042974991183,-0.6706919166646429,0.7819341176716654,-0.5385360136996763,0.8772955233178891,-0.16007094460429055,0.44046018752703076,-0.34089948108746126,0.8072632291666058,0.6973454291534852,0.7543331785485843
BMV:TLEVISACPO,0.22807290486489945,-0.2569941193849767,-0.44317143671251225,0.5187142893025701,-0.4022122708262572,-0.4710153141012413,-0.3846272486265602,-0.3561619425768742,0.06929155255487125,0.07713859695868205,-0.20339520426525168,0.0024563558210202933,0.14820278638006967,-0.3158611041664868,-0.46056335785880503,-0.13320611001950927,-0.4687506401804146,-0.10979801648330957,-0.5517746933187341,-0.5414035638701977,-0.5176155577043097,0.5482732567777198,0.018907048063798133,-0.1860042974991183,1.0,0.03194732268685915,-0.32540720162441866,0.022450235920091082,0.0765032405767986,0.29230228200299646,-0.30058854309401306,-0.21936722271789785,-0.3153960966159952,-0.5148923506973625,-0.17082226028345135
BMV:IENOVA,-0.643762002539687,-0.20872979247165957,-0.1242985196772553,0.19884519283873622,0.1136437513612692,0.4409788360407894,0.3841284844036279,-0.23887117638277885,0.3119705822560835,0.7429092944916549,-0.07817041130400725,-0.6432197351643832,0.12409319820475657,0.35855713060598093,0.05191676271313321,0.4675405354517322,-0.24988545228472536,0.8221669242785482,0.044518299070618564,0.10823751259192006,0.2799814564614593,-0.1595808375783652,0.15221352057232337,-0.6706919166646429,0.03194732268685915,1.0,-0.32980684811305166,0.7489753752487821,-0.7506206739593969,-0.09949581754028257,-0.003929376862242275,0.555702774792317,-0.4517547122609047,-0.24701544479346357,-0.2360391680280308
BMV:KIMBERA,0.1545856277937071,0.8143831052086845,0.890158374234232,-0.7949483981498199,0.7146701021262112,0.5533006629965208,0.5810707600933652,0.8273769833819401,0.42583568917397285,-0.2678040157571745,0.6489055118813385,0.4870020491164895,-0.42404805375488075,0.616151250723818,0.8408207528488592,-0.07227042113644129,0.7398187502405419,-0.17834313873327276,0.7715317506626866,0.8059301467928477,0.568432730511165,-0.6093736714553865,0.2653794715469126,0.7819341176716654,-0.32540720162441866,-0.32980684811305166,1.0,-0.19787385128178303,0.5221049893345643,-0.25979877007903807,0.8297911372023498,0.21271597134011194,0.8944873678637264,0.8598832762861296,0.8054401128971651
BMV:MEXCHEM,-0.646939023686986,-0.1662795469475483,-0.07278651299943042,0.23669402498144285,0.21138055406189427,0.5371152816462975,0.47082190276175684,-0.2894553974181987,0.5069267482234866,0.8369474672888206,0.04788540764804908,-0.6577348273945487,0.27048293442495286,0.3949335346442259,0.056675267844592876,0.567704319368624,-0.1949849304151825,0.8506779330307455,0.01660694353754778,0.19224033732465964,0.4948946796386735,-0.09012499941669584,0.13754885540352466,-0.5385360136996763,0.022450235920091082,0.7489753752487821,-0.19787385128178303,1.0,-0.645309908176357,0.07792767850037483,0.12765555816348143,0.5829848080860426,-0.30556620445502797,-0.23299379497974743,-0.2747529708266338
BMV:NEMAKA,0.7263351129432292,0.169537399858204,0.3032588013966495,-0.1949042480129809,0.027845820763458578,-0.5025677074245233,-0.5574341861126563,0.344384362612885,-0.3640555434667303,-0.7510402838824581,0.16622651123516982,0.6426369362292392,-0.020110612082701332,-0.22256395909093823,0.08943540055456664,-0.6546076459229633,0.2877648344425638,-0.7329473482127985,0.1718409342727426,-0.16963237171290504,-0.3021113832260979,0.26077009620135416,0.014546555264022827,0.8772955233178891,0.0765032405767986,-0.7506206739593969,0.5221049893345643,-0.645309908176357,1.0,0.10828008202166042,-0.08799677291962132,-0.6413605284110057,0.6420118274193047,0.4501063715384941,0.6538654998316196
BMV:OHLMEX,0.1072986487515207,-0.17567397590293043,-0.2594401109712041,0.3547217694516013,-0.08667923632284656,-0.3001179137749384,-0.21841586997077225,-0.13652884981251107,0.2762935183801453,0.2754586485960011,0.11985109505641535,-0.15504747193166968,0.34378123649590303,-0.11570365924772447,-0.31261101307956624,0.17851969838093776,-0.11447122951391829,-0.02851608142238977,-0.4599865935582264,-0.3389833191381595,-0.18980534672411553,0.6992197146325984,0.4314627248249003,-0.16007094460429055,0.29230228200299646,-0.09949581754028257,-0.25979877007903807,0.07792767850037483,0.10828008202166042,1.0,-0.049043939083266756,0.05132142372695153,-0.05032122714144148,-0.3314957504712928,-0.3743647424572523
BMV:OMAB,-0.2321600184204636,0.8277826908771955,0.8754541004093714,-0.770876627114036,0.843905972732775,0.7521801022341972,0.8338699805008172,0.8188487745681012,0.7462717385659213,0.1988633109422811,0.8058414261878858,0.11041824242673605,-0.3559824934626279,0.8193949341813329,0.8467477194536392,0.3602611170744909,0.7214462268490998,0.21596301518822095,0.7063991426917987,0.8962673229720822,0.6967749642937633,-0.5917346705860873,0.5366154371990305,0.44046018752703076,-0.30058854309401306,-0.003929376862242275,0.8297911372023498,0.12765555816348143,-0.08799677291962132,-0.049043939083266756,1.0,0.6286021912581112,0.7503265989231345,0.7614481252603552,0.5681665623578386
BMV:PE&OLES,-0.752803651449851,0.3769583865130317,0.3752829282727759,-0.3954676108627385,0.5903256090666501,0.7092934170737745,0.7817617702304278,0.37432105357176104,0.7159498955367065,0.766253882895533,0.5328815394177961,-0.5507611363855559,-0.10289978018902213,0.7327390963398923,0.4804481079742433,0.8230808481886903,0.3085203524694632,0.7767817416836332,0.369146684064138,0.609722720383891,0.6295083391327309,-0.4329826639600667,0.5405166904055505,-0.34089948108746126,-0.21936722271789785,0.555702774792317,0.21271597134011194,0.5829848080860426,-0.6413605284110057,0.05132142372695153,0.6286021912581112,1.0,0.1310410594481298,0.21987530517508655,-0.0247715381887319
BMV:PINFRA,0.24491092758599559,0.7460569475238524,0.8506462239475672,-0.7376978599621609,0.7053724330321022,0.41447001120879345,0.4182058919587449,0.8497023476550793,0.3693232633409003,-0.3472081452922272,0.69337672560311,0.4931333109213214,-0.2569004929195959,0.5627269616016338,0.7706887328723847,-0.10761900577662134,0.7881832504351628,-0.28888238891916923,0.6877428525891929,0.6878777787255428,0.47715944214562545,-0.4228303819194522,0.3927220548396268,0.8072632291666058,-0.3153960966159952,-0.4517547122609047,0.8944873678637264,-0.30556620445502797,0.6420118274193047,-0.05032122714144148,0.7503265989231345,0.1310410594481298,1.0,0.8153178321677048,0.7403138816479224
BMV:VOLARA,0.05275134998478141,0.8514612343111311,0.8976574376941778,-0.8723334884773973,0.6703683045309983,0.5258411039110586,0.6425149468281187,0.8743886615574712,0.2598213392172129,-0.23839478075509846,0.653649634346085,0.3868512186424497,-0.5744371031400842,0.6210768843444806,0.8339586848240471,-0.08280172259215733,0.8372332545631918,-0.08696012457276003,0.8711510078514115,0.7813715802999555,0.5739456349119569,-0.6917734438758344,0.22029304809537054,0.6973454291534852,-0.5148923506973625,-0.24701544479346357,0.8598832762861296,-0.23299379497974743,0.4501063715384941,-0.3314957504712928,0.7614481252603552,0.21987530517508655,0.8153178321677048,1.0,0.6637615129156562
BMV:WALMEX,0.30310872590771576,0.5662949332100123,0.7323377900201715,-0.5982609951898152,0.5718613541935871,0.4371030142814988,0.31676084997983833,0.6483110596846529,0.22224394845911852,-0.43730039658068315,0.3929991567106223,0.5798463009830918,-0.24617154471631422,0.4693182579651307,0.7327762646860451,-0.3481178721069562,0.5034147534919983,-0.27103064473656413,0.6855767223235013,0.6250865715021033,0.3503336583034679,-0.4932131571100864,0.1959719200701422,0.7543331785485843,-0.17082226028345135,-0.2360391680280308,0.8054401128971651,-0.2747529708266338,0.6538654998316196,-0.3743647424572523,0.5681665623578386,-0.0247715381887319,0.7403138816479224,0.6637615129156562,1.0
